OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_163	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus wentii
OTU_164	Fungi	?	?	?	?	?	?
OTU_166	Fungi	Basidiomycota	Wallemiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	?
OTU_167	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	Ganoderma sp 10 RJ_2014
OTU_168	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_170	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_171	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita masasiensis
OTU_172	Fungi	Ascomycota	?	?	?	?	?
OTU_173	Fungi	Basidiomycota	?	?	?	?	?
OTU_174	Fungi	Basidiomycota	Wallemiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	?
OTU_175	Fungi	Ascomycota	?	?	?	?	?
OTU_176	Fungi	Ascomycota	?	?	?	?	?
OTU_177	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota sp
OTU_178	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus sp NRRL 32683
OTU_179	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	?
OTU_180	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_181	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	?	?
OTU_182	Fungi	Ascomycota	?	?	?	?	?
OTU_183	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella afrostuposa
OTU_184	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	?	?	?
OTU_185	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	Westerdykella ornata
OTU_187	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	unidentified	Ceratobasidiaceae sp
OTU_188	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella sp
OTU_189	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Neopestalotiopsis foedans
OTU_190	Fungi	Ascomycota	?	?	?	?	?
OTU_191	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unidentified	Nectriaceae sp
OTU_193	Fungi	Ascomycota	?	?	?	?	?
OTU_194	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	unidentified	Russulaceae sp
OTU_195	Fungi	Ascomycota	?	?	?	?	?
OTU_196	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	?	?
OTU_197	Fungi	?	?	?	?	?	?
OTU_198	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	unidentified	?	?
OTU_199	Fungi	Basidiomycota	?	?	?	?	?
OTU_200	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus curtus
OTU_201	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae sedis	Tetracladium	Tetracladium sp
OTU_202	Fungi	?	?	?	?	?	?
OTU_203	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	?
OTU_206	Fungi	Basidiomycota	Agaricomycetes	?	?	?	?
OTU_207	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Nematoctonus	?
OTU_208	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_209	Fungi	Ascomycota	?	?	?	?	?
OTU_210	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	?	?	?
OTU_211	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius sp
OTU_212	Fungi	Basidiomycota	Tremellomycetes	unidentified	unidentified	unidentified	Tremellomycetes sp
OTU_213	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp
OTU_214	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	?
OTU_215	Fungi	Basidiomycota	Incertae sedis	?	?	?	?
OTU_217	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_219	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	?
OTU_220	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	?
OTU_222	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Edenia	Edenia sp
OTU_223	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Incertae sedis	Letendraea	?
OTU_224	Fungi	Basidiomycota	?	?	?	?	?
OTU_225	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Scleroderma verrucosum
OTU_226	Fungi	Ascomycota	Eurotiomycetes	?	?	?	?
OTU_227	Fungi	Ascomycota	?	?	?	?	?
OTU_228	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Incertae sedis	?	?
OTU_229	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_230	Fungi	Ascomycota	?	?	?	?	?
OTU_231	Fungi	Basidiomycota	Wallemiomycetes	Geminibasidiales	Geminibasidiaceae	?	?
OTU_232	Fungi	Ascomycota	Pezizomycetes	?	?	?	?
OTU_233	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota sp
OTU_235	Fungi	Ascomycota	?	?	?	?	?
OTU_236	Fungi	Ascomycota	Sordariomycetes	Sordariales	unidentified	?	?
OTU_237	Fungi	Ascomycota	?	?	?	?	?
OTU_238	Fungi	Ascomycota	Sordariomycetes	unidentified	?	?	?
OTU_239	Fungi	Ascomycota	?	?	?	?	?
OTU_240	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	unidentified	?
OTU_241	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	?	?
OTU_242	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Campylocarpon	Campylocarpon pseudofasciculare
OTU_243	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_244	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	?	?
OTU_245	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	unidentified	Trichocomaceae sp
OTU_246	Fungi	Ascomycota	Sordariomycetes	?	?	?	?
OTU_247	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	unidentified	Herpotrichiellaceae sp
OTU_248	Fungi	Basidiomycota	Wallemiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	?
OTU_249	Fungi	Ascomycota	Dothideomycetes	?	?	?	?
OTU_250	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	unidentified	Herpotrichiellaceae sp
OTU_252	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	?	?
