Species	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E12	E2	E3	E4	E5	E6	E7	E8	E9	F1	F10	F11	F12	F2	F3	F4	F5	F6	F7	F8	F9	G1	G10	G11	G12	G2	G3	G4	G5	G6	G7	G8	G9	H1	H10	H11	H12	H2	H3	H4	H5	H6	H7	H8	H9	ITS1f	ITS4	ITS4-IT	ITS4A	gITS7
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;Penicillium herquei	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	32	0	0	0	18	0	0	0	0	0	0	0	292	0	0	0	1	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	1	0	3	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;Penicillium oxalicum	3	0	0	0	0	19	98	0	1190	0	0	59	0	0	0	0	0	1	5	0	2	0	0	0	16	0	0	0	2	0	3	132	2	0	1	0	4	0	0	0	0	6	6	5	0	0	0	0	19	0	0	0	6	0	0	0	0	0	1	0	25	0	0	0	0	0	3	9	0	0	0	1	3	0	0	0	14	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	4	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;Penicillium penicillioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	573	0	0	0	0	1	0	0	59	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;Penicillium pimiteouiense	335	0	68	174	173	379	5605	13419	7295	1194	2339	42215	145	18	0	10	383	154	7710	3399	5235	1204	2613	17820	279	18	0	4	2999	408	12614	4479	2805	20708	360	8084	346	1253	257	4	196	184	24680	2590	70186	10514	5323	13	356	23	269	270	2072	14	7290	1579	12944	13816	441	13483	336	1	0	37	666	2072	6861	3158	39056	6618	42	18312	454	0	5	0	1693	11098	1275	513	11201	14063	31	0	461	54	5	0	639	8915	911	1421	3382	4168	16	1595	0	2590	0	744	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;Penicillium purpurogenum	0	0	0	0	0	0	277	0	0	79	0	0	0	0	0	0	0	0	173	1	7	0	0	2	1	0	0	0	6	0	104	1	4	0	1	0	0	4	6	0	44	2	133	81	235	1	0	0	0	0	0	10	5	0	27	12	4	0	15	0	5	0	0	0	0	72	234	61	1	0	0	0	0	0	0	0	7	197	0	50	0	0	3	0	0	0	0	0	4	41	0	70	0	2	0	9	0	11	0	2	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;Penicillium sclerotiorum	0	0	0	0	0	0	0	0	54	0	57	0	0	0	0	0	0	8	4	0	0	0	10	0	0	0	0	0	4	0	137	0	0	0	9	0	0	0	0	0	0	0	914	0	1	0	20	0	0	0	0	0	10	0	104	1	1	0	0	0	1	0	0	0	0	0	10	3	2	0	0	0	0	0	1	0	1	0	1	0	0	32	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	8	0	1	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;Penicillium shearii	2	0	14	0	7	4	37	2	109	1	363	1	0	0	0	0	0	35	5	3	64	19	489	10	2	0	0	0	17	12	12	0	17	1	9	17	5	0	0	0	27	1	339	0	2	0	42	1	0	1	0	0	73	0	67	2	189	1	2	0	4	0	0	0	4	2	21	2	0	84	0	1	8	0	0	0	5	0	11	0	0	2971	0	0	0	4	0	0	5	10	0	54	0	634	0	12	0	28	0	9	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;Penicillium sp	1	0	0	0	0	0	2	0	9	16	4	0	0	0	0	0	0	0	30	5	5	0	1	0	1	0	0	0	3	0	13	0	4	0	3	0	0	0	0	0	61	1	139	0	0	1	20	0	0	0	0	0	24	0	4	1	2	17	0	2	0	0	0	0	0	12	3	0	0	0	0	0	0	0	0	0	1	3	0	3	1	2	0	0	0	0	0	0	0	37	5	2	0	1	0	4	0	2	0	1	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;Penicillium sp ASR_254	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;Penicillium sp F33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
